GEOID10,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,CBSA,CBSA_Name,TotPop,NatWalkInd,geom_wgs84,State_name,County_name,Walkind_tract_avg,Walkind_county_avg
061110091002,06,111,009100,2,37100,"Oxnard-Thousand Oaks-Ventura, CA",1213,10.333333333333332,"MULTIPOLYGON (((-119.17744699900604 34.19017899934418, -119.17742999961938 34.192188999280006, -119.17743299962484 34.19233299993419, -119.17742699966585 34.192498000292076, -119.17741399969992 34.19369699981846, -119.17740700048476 34.194880999555075, -119.1774000005085 34.195021999720275, -119.17740299981125 34.19516099990471, -119.17738000065671 34.196195000111764, -119.17738200067241 34.19634900018582, -119.1774020000264 34.197167999764716, -119.17738899912437 34.1972779998547, -119.17736500037411 34.197656000001345, -119.17595800044282 34.19764799978078, -119.17506599983817 34.19764600010211, -119.17492500002768 34.19764600081869, -119.1748690004889 34.19763900000797, -119.17456599992825 34.197601000295315, -119.17435699979565 34.1975610003187, -119.17411999947184 34.19749999973682, -119.17401000042977 34.197466000187646, -119.17384499953481 34.19740499966113, -119.17341399956345 34.197250000455504, -119.17319500038856 34.197187999904784, -119.17258199959461 34.19702000048915, -119.17235100029573 34.19696300031208, -119.17203199979147 34.196910000131595, -119.17163899923861 34.196864000247025, -119.17127700040473 34.19683499936473, -119.17083699983417 34.196812999429014, -119.17030800035819 34.196816999553604, -119.16953200003893 34.196887999504355, -119.16840799958206 34.19701099953584, -119.16833199986249 34.19701500015816, -119.16751899985303 34.1970589999597, -119.16656900002116 34.19706499994044, -119.16569799998517 34.1970580006938, -119.16505800054043 34.19705699981926, -119.16477499976521 34.19705600008613, -119.16347099953553 34.19704699987447, -119.16267199955443 34.19704399938254, -119.16163099909909 34.19702899952641, -119.15977099984988 34.197010000133055, -119.15977400053617 34.19554500003305, -119.15980399997716 34.19520600006323, -119.15982799957922 34.193432000193184, -119.15983400069227 34.192584999844875, -119.15984299980192 34.19188900026312, -119.15989100033774 34.19161399991946, -119.15992799990467 34.18984899932806, -119.16229499944305 34.189863999939824, -119.16294799985137 34.18986300004313, -119.16352000020603 34.18986699998374, -119.1648569995751 34.18988100012392, -119.16506299918139 34.189902000040675, -119.16535999997357 34.18990599917756, -119.16569099946834 34.18989599965543, -119.16596999994681 34.1898739997108, -119.16617799959049 34.18986200024895, -119.1671950002207 34.18986699981762, -119.16764300029547 34.189869999875334, -119.16829200009053 34.18987700031197, -119.16847900016236 34.189919000249326, -119.1687340003111 34.18992300057247, -119.16951099968013 34.18993400038193, -119.17106300060969 34.189950000080906, -119.17158600010288 34.189955999991945, -119.17235999966906 34.18996400003886, -119.17300400006087 34.18996799961668, -119.17398100014883 34.189975000156686, -119.17487300012317 34.18998000024148, -119.175554999949 34.189984999380776, -119.17604699953795 34.189987999622275, -119.176654999781 34.18999199954005, -119.17745700021936 34.19000499947925, -119.17744699900604 34.19017899934418)))",CALIFORNIA,VENTURA,12.541666666666664,12.541666666666664
061110091001,06,111,009100,1,37100,"Oxnard-Thousand Oaks-Ventura, CA",1678,12.5,"MULTIPOLYGON (((-119.17734999950083 34.1980609997349, -119.17734600040137 34.198175999667626, -119.17735099997776 34.19834700058823, -119.17735199991337 34.19897899962469, -119.17736200072595 34.19910900071376, -119.17732600069058 34.20037999976522, -119.17641100017704 34.20044800012921, -119.17623600082632 34.20046099984156, -119.17539700016341 34.200507999872755, -119.17493299951867 34.20052900015378, -119.17430500081605 34.20055799946766, -119.17380199914574 34.20055899974342, -119.17327499922813 34.20055599991339, -119.17275800058978 34.200553999415945, -119.17223299999317 34.20055099997766, -119.17171699947201 34.200547000579576, -119.17119699952222 34.20054199967315, -119.17082400041387 34.20053899960487, -119.17064400014846 34.20053699999283, -119.17023199942835 34.20053300064339, -119.17013500006567 34.20053200023586, -119.16944800068168 34.20052499978804, -119.16905500034957 34.20052499994236, -119.1685290004107 34.20051899954045, -119.16851300034489 34.20154300000459, -119.16850200035907 34.20263000030409, -119.16849799927644 34.202648000069026, -119.16795900011836 34.20264099928083, -119.16743900057656 34.20263300027993, -119.16691200035159 34.202627999836146, -119.16645299971364 34.202622999484014, -119.16637599990744 34.20265900017351, -119.16584399928249 34.20264399942021, -119.1655819997208 34.20264600012667, -119.16532299966907 34.20264699999206, -119.16492200035026 34.202643999723136, -119.1647809998499 34.20264300008152, -119.16440900021954 34.20264299948121, -119.16425599998931 34.2026429999328, -119.16359099998203 34.20263900063382, -119.16293499997424 34.20263499995809, -119.16227200078913 34.202632000119, -119.16160900079971 34.20262800019766, -119.16094799965013 34.202624000078465, -119.16083399987161 34.202623999692364, -119.1602859998752 34.20262099948393, -119.15971800047716 34.20261799987512, -119.15964599931674 34.20253199961192, -119.15964700011403 34.202146000010316, -119.15972400002057 34.20203500001339, -119.15972300008157 34.20195000034468, -119.15973999942253 34.20144700005388, -119.15973700078416 34.20139899971178, -119.15973600007368 34.20064599980229, -119.15974099996228 34.200436000576715, -119.15974799958477 34.19941099954403, -119.15974399944135 34.198433999830215, -119.1597470002198 34.19831099932764, -119.15974500024203 34.19817999994566, -119.15976500031633 34.19728199978897, -119.15977099984988 34.197010000133055, -119.16163099909909 34.19702899952641, -119.16267199955443 34.19704399938254, -119.16347099953553 34.19704699987447, -119.16477499976521 34.19705600008613, -119.16505800054043 34.19705699981926, -119.16569799998517 34.1970580006938, -119.16656900002116 34.19706499994044, -119.16751899985303 34.1970589999597, -119.16833199986249 34.19701500015816, -119.16840799958206 34.19701099953584, -119.16953200003893 34.196887999504355, -119.17030800035819 34.196816999553604, -119.17083699983417 34.196812999429014, -119.17127700040473 34.19683499936473, -119.17163899923861 34.196864000247025, -119.17203199979147 34.196910000131595, -119.17235100029573 34.19696300031208, -119.17258199959461 34.19702000048915, -119.17319500038856 34.197187999904784, -119.17341399956345 34.197250000455504, -119.17384499953481 34.19740499966113, -119.17401000042977 34.197466000187646, -119.17411999947184 34.19749999973682, -119.17435699979565 34.1975610003187, -119.17456599992825 34.197601000295315, -119.1748690004889 34.19763900000797, -119.17492500002768 34.19764600081869, -119.17506599983817 34.19764600010211, -119.17595800044282 34.19764799978078, -119.17736500037411 34.197656000001345, -119.17734999950083 34.1980609997349)))",CALIFORNIA,VENTURA,12.541666666666664,12.541666666666664
061110091004,06,111,009100,4,37100,"Oxnard-Thousand Oaks-Ventura, CA",1254,16.5,"MULTIPOLYGON (((-119.16847899958913 34.20287100028701, -119.16845200064029 34.20448300027065, -119.16844800022726 34.20495600003269, -119.16845699906398 34.20503400024225, -119.16846499987884 34.205104000267184, -119.16845100019096 34.20571299965075, -119.16843699923672 34.2063800005128, -119.16724400065034 34.20636999996943, -119.16633100014342 34.20635900035117, -119.1653029994904 34.20634699983917, -119.16476200032665 34.20634400042835, -119.16461400080485 34.20635899979003, -119.16457599908667 34.2063669997084, -119.16448599989793 34.20638699926744, -119.16434899969366 34.206434000043465, -119.16427699997381 34.206468000120914, -119.16417499976865 34.206529000248224, -119.16410200044136 34.20658599984871, -119.16400600057754 34.20666900022943, -119.16393199933862 34.2067579993824, -119.16365700019607 34.20713600039088, -119.16353600060998 34.20729900034602, -119.16293400010508 34.207022000586576, -119.16265100018006 34.20689899943603, -119.16263299957474 34.20688699997379, -119.1625810005335 34.2068689997885, -119.16233399934848 34.20678300043298, -119.16196100049892 34.206675000249994, -119.16170899977523 34.20660700014415, -119.16137100034479 34.20652999956946, -119.16127300055783 34.20651100020269, -119.16120299944215 34.20649800003391, -119.16077999955327 34.206438000545376, -119.16038399972635 34.20639600032849, -119.16010400044073 34.20637600033487, -119.15967800019482 34.20636200042079, -119.15966900012805 34.2062000001423, -119.15967099999197 34.205762999682555, -119.15968299957565 34.20532399993252, -119.15967900055713 34.20530600040987, -119.15968599935773 34.20492100076983, -119.15969400070482 34.204827999879434, -119.15969099960338 34.204726999547184, -119.15970199987373 34.20416199982454, -119.1597039995484 34.20405700014561, -119.15971199960576 34.20337300017623, -119.15971800047716 34.20261799987512, -119.1602859998752 34.20262099948393, -119.16083399987161 34.202623999692364, -119.16094799965013 34.202624000078465, -119.16160900079971 34.20262800019766, -119.16227200078913 34.202632000119, -119.16293499997424 34.20263499995809, -119.16359099998203 34.20263900063382, -119.16425599998931 34.2026429999328, -119.16440900021954 34.20264299948121, -119.1647809998499 34.20264300008152, -119.16492200035026 34.202643999723136, -119.16532299966907 34.20264699999206, -119.1655819997208 34.20264600012667, -119.16584399928249 34.20264399942021, -119.16637599990744 34.20265900017351, -119.16645299971364 34.202622999484014, -119.16691200035159 34.202627999836146, -119.16743900057656 34.20263300027993, -119.16795900011836 34.20264099928083, -119.16849799927644 34.202648000069026, -119.16847899958913 34.20287100028701)))",CALIFORNIA,VENTURA,12.541666666666664,12.541666666666664
061110091003,06,111,009100,3,37100,"Oxnard-Thousand Oaks-Ventura, CA",607,10.833333333333332,"MULTIPOLYGON (((-119.17745700021936 34.19000499947925, -119.176654999781 34.18999199954005, -119.17604699953795 34.189987999622275, -119.175554999949 34.189984999380776, -119.17487300012317 34.18998000024148, -119.17398100014883 34.189975000156686, -119.17300400006087 34.18996799961668, -119.17235999966906 34.18996400003886, -119.17158600010288 34.189955999991945, -119.17106300060969 34.189950000080906, -119.16951099968013 34.18993400038193, -119.1687340003111 34.18992300057247, -119.16847900016236 34.189919000249326, -119.16829200009053 34.18987700031197, -119.16764300029547 34.189869999875334, -119.1671950002207 34.18986699981762, -119.16617799959049 34.18986200024895, -119.16596999994681 34.1898739997108, -119.16569099946834 34.18989599965543, -119.16535999997357 34.18990599917756, -119.16506299918139 34.189902000040675, -119.1648569995751 34.18988100012392, -119.16352000020603 34.18986699998374, -119.16294799985137 34.18986300004313, -119.16229499944305 34.189863999939824, -119.15992799990467 34.18984899932806, -119.15995799983742 34.18892899996852, -119.16000100030845 34.18689800056112, -119.16000600023848 34.186177000288104, -119.16002200034633 34.18508800077261, -119.16004900080779 34.18334600016729, -119.16003299994593 34.18255699979101, -119.15995300039056 34.182382999854624, -119.1599269999883 34.18212300038726, -119.15987799955818 34.181851000558304, -119.15983600043953 34.1816670004543, -119.15981799969629 34.18150900005463, -119.15980199945753 34.18100299978984, -119.15980799983107 34.18083700058252, -119.15981600011104 34.180131000474795, -119.15982399999359 34.179399999842666, -119.15983100007993 34.17870600044672, -119.15984700000544 34.17775900000873, -119.15984600039171 34.17761999977539, -119.15985899997895 34.177015999492724, -119.15983799917927 34.175921000691126, -119.15985899986349 34.17557599956797, -119.15987000006407 34.175459999557276, -119.1599520008224 34.17520199955463, -119.162065000227 34.177058999971955, -119.16510600024763 34.17973299977107, -119.16517700035475 34.17994599974294, -119.16528599995003 34.18006399940365, -119.16562999987089 34.1803799999925, -119.16634599985768 34.180983999911774, -119.1678779999796 34.18224800016483, -119.16846799968621 34.18271599955602, -119.16849899956763 34.18274099970551, -119.16922399986784 34.183316999633696, -119.1693079999645 34.183384000204626, -119.17044699952389 34.184274999454274, -119.1716850006027 34.18524100051851, -119.17255700022257 34.185923000138686, -119.17284499967892 34.18614899947778, -119.17335800028741 34.18654900005007, -119.17411899942044 34.18714499993422, -119.17555599909214 34.18826999972811, -119.17568099942089 34.18836699963439, -119.17716600048243 34.189535000146996, -119.1772690000997 34.18970199984298, -119.17734500066886 34.189824000420245, -119.17745700021936 34.19000499947925)))",CALIFORNIA,VENTURA,12.541666666666664,12.541666666666664
